x,empREL,empTTF
963.0,0.7495069033530573,0.2504930966469428
966.0,0.747534516765286,0.252465483234714
968.0,0.7455621301775148,0.25443786982248523
982.0,0.7435897435897436,0.25641025641025644
1008.0,0.7416173570019724,0.25838264299802766
1018.0,0.7396449704142012,0.2603550295857988
1028.0,0.73767258382643,0.26232741617357
1042.0,0.7357001972386588,0.26429980276134124
1045.0,0.7337278106508875,0.26627218934911245
1046.0,0.7317554240631163,0.26824457593688367
1065.0,0.7297830374753451,0.2702169625246549
1088.0,0.7278106508875739,0.27218934911242604
1101.0,0.7258382642998027,0.27416173570019725
1129.0,0.7238658777120315,0.27613412228796846
1133.0,0.7218934911242603,0.2781065088757397
1138.0,0.719921104536489,0.2800788954635109
1142.0,0.717948717948718,0.28205128205128205
1149.0,0.7159763313609467,0.28402366863905326
