Tupla,# Entries,Start time,End time,Length,Density,Interarrival
149,20,1168668852,1168668862,10,2.0,6553.0
150,10,1168670404,1168670404,0,inf,1542.0
151,4,1168672556,1168672667,111,0.036036036036036036,2152.0
152,9,1168680675,1168680770,95,0.09473684210526316,8008.0
153,3,1168681736,1168681736,0,inf,966.0
154,3,1168700704,1168700704,0,inf,18968.0
155,3,1168720222,1168720222,0,inf,19518.0
156,1,1168723169,1168723169,0,inf,2947.0
157,2,1168731691,1168731691,0,inf,8522.0
158,1,1168748273,1168748273,0,inf,16582.0
159,2,1168764769,1168764769,0,inf,16496.0
160,47,1168768021,1168768306,285,0.1649122807017544,3252.0
161,51,1168769086,1168769370,284,0.1795774647887324,780.0
162,46,1168770901,1168771184,283,0.1625441696113074,1531.0
163,78,1168779853,1168780487,634,0.12302839116719243,8669.0
164,1,1168781693,1168781693,0,inf,1206.0
165,2,1168791865,1168791882,17,0.11764705882352941,10172.0
166,11,1168797829,1168797846,17,0.6470588235294118,5947.0
167,51,1168798414,1168798506,92,0.5543478260869565,568.0
168,4,1168800291,1168800291,0,inf,1785.0
169,1,1168812683,1168812683,0,inf,12392.0
170,6,1168815234,1168815269,35,0.17142857142857143,2551.0
171,2,1168815831,1168815965,134,0.014925373134328358,562.0
172,3,1168817303,1168817303,0,inf,1338.0
173,3,1168817538,1168817538,0,inf,235.0
174,6,1168818271,1168818413,142,0.04225352112676056,733.0
175,3,1168819694,1168819694,0,inf,1281.0
176,3,1168820315,1168820315,0,inf,621.0
177,10,1168821507,1168821577,70,0.14285714285714285,1192.0
178,1,1168871928,1168871928,0,inf,50351.0
179,2,1168876140,1168876158,18,0.1111111111111111,4212.0
180,1,1168877083,1168877083,0,inf,925.0
181,7,1168877425,1168877614,189,0.037037037037037035,342.0
182,4,1168878475,1168878475,0,inf,861.0
183,3,1168881291,1168881291,0,inf,2816.0
184,6,1168881755,1168881939,184,0.03260869565217391,464.0
185,3,1168882215,1168882215,0,inf,276.0
186,6,1168882464,1168882669,205,0.02926829268292683,249.0
187,6,1168883409,1168883422,13,0.46153846153846156,740.0
188,3,1168884094,1168884094,0,inf,672.0
189,6,1168884591,1168884699,108,0.05555555555555555,497.0
190,4,1168885124,1168885124,0,inf,425.0
191,1,1168887326,1168887326,0,inf,2202.0
192,8,1168892020,1168892080,60,0.13333333333333333,4694.0
193,3,1168900388,1168900388,0,inf,8308.0
194,3,1168935987,1168935987,0,inf,35599.0
195,2,1168958000,1168958017,17,0.11764705882352941,22013.0
196,58,1168958462,1168958657,195,0.29743589743589743,445.0
197,2,1168963047,1168963064,17,0.11764705882352941,4390.0
198,1,1168964579,1168964579,0,inf,1515.0
199,1,1168970570,1168970570,0,inf,5991.0
200,1,1169066841,1169066841,0,inf,96271.0
201,1,1169113457,1169113457,0,inf,46616.0
202,1,1169203262,1169203262,0,inf,89805.0
203,3,1169220318,1169220318,0,inf,17056.0
204,4,1169221670,1169221670,0,inf,1352.0
205,3,1169406311,1169406311,0,inf,184641.0
206,3,1169415741,1169415741,0,inf,9430.0
207,1,1169418229,1169418229,0,inf,2488.0
208,3,1169447545,1169447545,0,inf,29316.0
209,3,1169456407,1169456407,0,inf,8862.0
210,3,1169511383,1169511383,0,inf,54976.0
211,4,1169521898,1169521899,1,4.0,10515.0
212,1,1169551845,1169551845,0,inf,29946.0
213,3,1169562493,1169562493,0,inf,10648.0
214,3,1169580934,1169580934,0,inf,18441.0
215,6,1169591993,1169592054,61,0.09836065573770492,11059.0
216,3,1169613680,1169613680,0,inf,21626.0
217,7,1169656052,1169656112,60,0.11666666666666667,42372.0
218,1,1169681076,1169681076,0,inf,24964.0
219,1,1169758295,1169758295,0,inf,77219.0
220,1,1169901934,1169901934,0,inf,143639.0
