procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 997448 222908  77336 1116820    0    0     0    76 14297  975  0 73 27  0  0
 4  0 997448 222656  77336 1116828    0    0     0     0 15079 1046  2 82 16  0  0
 1  0 997448 219944  77336 1116832    0    0     0     0 13931  988  0 83 17  0  0
 1  0 997448 211852  77336 1116832    0    0     0     0 16192 1127  2 82 16  0  0
 3  0 997448 211852  77336 1116836    0    0     0     0 16738 1323  4 79 16  0  0
 2  0 997448 223488  77344 1116832    0    0     0    28 14922 1018  1 62 37  0  0
 3  0 997448 222988  77344 1116836    0    0     0     0 15431 1025  1 83 16  0  0
 1  0 997448 222988  77344 1116836    0    0     0     0 16495 1155  2 81 17  0  0
 1  0 997448 214848  77344 1116840    0    0     0     0 15533 1112  4 81 15  0  0
 0  0 997448 223836  77344 1116840    0    0     4     0 13943 1153  2 62 34  2  0
 0  0 997448 223616  77352 1117876    0    0  1032    28 2963  749  1 10 85  4  0
 0  0 997448 223616  77352 1117888    0    0     0     0 4435  600  1 16 83  0  0
 0  0 997448 223616  77352 1117888    0    0     0     0 6458  725  0 24 76  0  0
 2  0 997448 223616  77352 1117892    0    0     0     0 10992  954  2 45 53  0  0
 1  0 997448 223616  77352 1117892    0    0     0     0 12755  978  0 61 39  0  0
 3  0 997448 223616  77360 1117888    0    0     0    20 16058 1275  1 81 17  1  0
 2  0 997448 223368  77360 1117896    0    0     0     0 17637 1318  3 81 16  0  0
 3  0 997448 223368  77360 1117900    0    0     0     0 16301 1195  4 76 20  0  0
 0  0 997448 223368  77360 1117908    0    0     0     0 6354  693  1 26 73  0  0
 0  0 997448 223368  77360 1117908    0    0     0     0 2651  504  0  9 91  0  0
 0  0 997448 223368  77368 1117912    0    0     0    28 4315  554  0 16 82  2  0
 1  0 997448 223368  77368 1117912    0    0     0     0 7266  698  1 28 71  0  0
 0  0 997448 223368  77368 1117916    0    0     0     0 10366  727  2 39 59  0  0
 1  0 997448 223368  77368 1117920    0    0     0   304 14039  964  0 63 36  1  0
 2  0 997448 223368  77368 1117920    0    0     0     0 16789 1155  1 82 17  0  0
 5  0 997448 223368  77376 1117920    0    0     0    32 15649 1201  1 79 19  1  0
 2  0 997448 223368  77376 1117924    0    0     0     0 15929 1130  3 80 17  0  0
 0  0 997448 223368  77376 1117928    0    0     0     0 6372  722  1 26 73  0  0
 0  0 997448 223368  77376 1117928    0    0     0     0 2635  461  0  7 93  0  0
 0  0 997448 223368  77376 1117932    0    0     0     0 4435  561  2 13 85  0  0
 1  0 997448 223368  77384 1117936    0    0     0    20 7896  688  0 30 69  1  0
 0  0 997448 223368  77384 1117936    0    0     0     0 9656  734  2 35 63  0  0
 1  0 997448 223368  77384 1117940    0    0     0     0 13270  924  2 59 39  0  0
 1  0 997448 223368  77384 1117940    0    0     0     0 17209 1191  2 81 17  0  0
 1  0 997448 223368  77384 1117944    0    0     0     0 16962 1272  1 80 19  0  0
 1  0 997448 223368  77392 1117944    0    0     0    16 15837 1135  4 78 18  0  0
 0  0 997448 223368  77392 1117948    0    0     0     0 5897  651  0 24 76  0  0
 0  0 997448 223368  77392 1117952    0    0     0     0 2504  481  1  7 92  0  0
 0  0 997448 223368  77392 1117952    0    0     0     0 4556  513  0 15 85  0  0
 0  0 997448 223368  77392 1117956    0    0     0     0 7830  720  1 30 69  0  0
 0  0 997448 223368  77400 1117956    0    0     0    20 9229  718  2 40 56  1  0
 2  0 997448 223368  77400 1117960    0    0     0     0 13554  964  2 63 35  0  0
 3  0 997448 223368  77400 1117960    0    0     0     0 17112 1196  1 84 15  0  0
 1  0 997448 223368  77400 1117964    0    0     0     0 16360 1089  2 79 18  0  0
 0  0 997448 223368  77400 1117964    0    0     0     0 16288 1129  1 79 20  0  0
 0  0 997448 223368  77408 1117968    0    0     0    16 5209  670  2 19 77  2  0
