procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 918480  96288  65604 1206564    0    0     0     0 17897 1340  2 82 15  0  0
 1  0 918480  96288  65604 1206568    0    0     0    92 17549 1355  0 83 17  0  0
 0  0 918480  96288  65604 1206568    0    0     0     0 18046 1332  1 80 19  0  0
 0  0 918480  96288  65604 1206572    0    0     0     0 11285 1001  2 46 52  0  0
 0  0 918480  96288  65612 1206568    0    0     0    28 1049  399  0  1 98  1  0
 0  0 918480  96288  65612 1206580    0    0     0     0 1102  439  0  3 97  0  0
 0  0 918480  96288  65612 1206580    0    0     0    44 1608  456  1  3 96  0  0
 0  0 918480  96288  65612 1206584    0    0     0     0 1636  433  0  5 95  0  0
 0  0 918480  96288  65612 1206584    0    0     0     0 4711  553  1 14 85  0  0
 0  0 918480  96288  65620 1206580    0    0     0    32 3191  485  2  9 87  2  0
 0  0 918480  96288  65628 1206592    0    0     0    24 6243  611  1 21 76  2  0
 0  0 918480  96288  65628 1206592    0    0     0     0 5830  576  0 21 79  0  0
 0  0 918480  96288  65628 1206596    0    0     0     0 13517  865  0 49 51  0  0
 0  0 918480  96288  65628 1206596    0    0     0     0 12839  910  3 49 47  0  0
 1  0 918480  96288  65628 1206600    0    0     0     0 19131 1253  2 81 17  0  0
 0  0 918480  96288  65644 1206592    0    0     0    64 17544 1246  2 80 18  0  0
 0  0 918480  96288  65652 1206820    0    0   176    56 16451 1570  4 83 13  0  0
 2  0 918480  94048  65652 1206864    0    0     0     0 15695 1164  2 81 17  0  0
 1  0 918480  93600  65652 1206864    0    0     0     0 17904 1318  6 81 13  0  0
 0  0 918480  93600  65652 1206868    0    0     0     0 15326 1092  2 66 32  0  0
 0  0 918480  93600  65652 1206872    0    0     0     0  819  424  0  0 100  0  0
 0  0 918480  93600  65660 1206876    0    0     0  1020 1333  531  1  2 93  4  0
 0  0 918480  93600  65660 1206876    0    0     0     0 1260  430  1  2 97  0  0
 0  0 918480  93600  65660 1206880    0    0     0     0 1654  443  0  5 95  0  0
 0  0 918480  93600  65660 1206880    0    0     0     0 4260  557  0 15 85  0  0
 0  0 918480  93600  65660 1206884    0    0     0     0 2575  426  0  7 93  0  0
 0  0 918480  94380  65684 1206872    0    0     0   236 6348  756  0 25 73  2  0
 1  0 918480  94380  65684 1206884    0    0     0     0 5291  593  1 18 81  0  0
 0  0 918480  94380  65684 1206888    0    0     0     0 10416  761  1 41 58  0  0
 1  0 918480  94380  65684 1206892    0    0     0     0 11720  878  0 47 53  0  0
 1  0 918480  94380  65684 1206896    0    0     0     0 17469 1184  1 80 18  0  0
 0  0 918480  94380  65692 1206888    0    0     0    24 15149 1122  1 66 33  0  0
 0  0 918480  94380  65692 1206900    0    0     0     0 1093  669  1  2 97  0  0
 0  0 918480  94380  65692 1206904    0    0     0     0 1240  552  0  3 97  0  0
 0  0 918480  94380  65692 1206908    0    0     0     0 1324  489  0  3 97  0  0
 0  0 918480  94380  65692 1206908    0    0     0     0 1667  504  1  7 92  0  0
 0  0 918480  94380  65700 1206904    0    0     0    24 2561  560  0  9 91  0  0
 1  0 918480  94380  65700 1206916    0    0     0     0 4457  665  1 14 85  0  0
 0  0 918480  94380  65700 1206916    0    0     0     0 6460  636  2 22 76  0  0
 0  0 918480  94380  65700 1206920    0    0     0     0 4673  592  0 18 82  0  0
 0  0 918480  94380  65700 1206920    0    0     0     0 12485  904  1 46 53  0  0
 1  0 918480  94380  65708 1206916    0    0     0    16 11985  904  2 46 52  0  0
 0  0 918480  94380  65708 1206924    0    0     0     0 16986 1242  1 83 16  0  0
 1  0 918480  94380  65708 1206928    0    0     0     0 15543 1339  2 82 16  0  0
 0  0 918480  94380  65708 1206928    0    0     0     0 15062 1432  3 85 12  0  0
 1  0 918480  93876  65708 1206928    0    0     0     0 15727 1389  1 82 17  0  0
 0  0 918480  93876  65716 1206924    0    0     0    20 16876 1384  0 83 17  0  0
 2  0 918480  93876  65716 1206932    0    0     0     0 16054 1360  2 82 16  0  0
 0  0 918480  93876  65716 1206936    0    0     0     0 16623 1379  2 74 24  0  0
 1  0 918480  93876  65716 1206940    0    0     0     0 2739  470  0  6 94  0  0
 0  0 918480  93876  65716 1206944    0    0     0     0 1110  366  1  2 97  0  0
 0  0 918480  93876  65724 1206936    0    0     0    16 1769  509  1  4 94  1  0
 0  0 918480  93876  65724 1206948    0    0     0   100 1389  378  0  2 98  0  0
 0  0 918480  93876  65724 1206948    0    0     0     0 4314  527  0 15 85  0  0
 1  0 918480  93876  65724 1206952    0    0     0     0 4544  520  0 20 80  0  0
 0  0 918480  93876  65724 1206956    0    0     0     0 5894  615  1 22 77  0  0
 1  0 918480  93876  65732 1206948    0    0     0    40 6968  625  0 27 73  0  0
 0  0 918480  93876  65732 1206960    0    0     0    52 10000  761  1 35 63  0  0
 0  0 918480  93876  65732 1206960    0    0     0     0 12414  849  0 53 47  0  0
 0  0 918480  93876  65732 1206964    0    0     0     0 17053 1193  2 82 16  0  0
 0  0 918480  93876  65732 1206964    0    0     0     0 19006 1281  2 80 18  0  0
 2  0 918480  93876  65740 1206960    0    0     0    16 19643 1345  2 82 16  0  0
 0  0 918480  93876  65740 1206968    0    0     0     0 19104 1348  1 84 15  0  0
 1  0 918480  93876  65740 1206972    0    0     0     0 18342 1324  2 81 17  0  0
 0  0 918480  93876  65740 1206976    0    0     0     0 11439  852  1 46 53  0  0
 1  0 918480  93876  65740 1206976    0    0     0     0 2218  443  1  6 93  0  0
 0  0 918480  93876  65748 1206972    0    0     0    20 1503  437  1  2 97  0  0
 0  0 918480  93876  65748 1206980    0    0     0     0 1574  439  1  5 94  0  0
 0  0 918480  93876  65748 1206984    0    0     0     0 1273  413  0  2 98  0  0
 0  0 918480  93876  65748 1206984    0    0     0     0 4365  579  0 15 85  0  0
 0  0 918480  93876  65748 1206988    0    0     0     0 3932  483  1 17 82  0  0
 1  0 918480  93876  65756 1206984    0    0     0    20 6266  612  1 24 74  1  0
 1  0 918480  93876  65756 1206992    0    0     0     0 6587  573  0 23 77  0  0
 0  0 918480  93876  65756 1206996    0    0     0     0 10756  783  3 40 57  0  0
 1  0 918480  93876  65756 1206996    0    0     0     0 8666  776  2 39 59  0  0
 1  0 918480  93876  65756 1207000    0    0     0     0 17443 1144  1 82 17  0  0
 1  0 918480  93876  65756 1207000    0    0     0     0 18408 1183  2 81 17  0  0
 5  0 918480  93876  65764 1207004    0    0     0    20 17859 1171  1 80 19  0  0
 0  0 918480  93876  65764 1207004    0    0     0     0 16626 1170  2 82 16  0  0
 1  0 918480  93876  65764 1207012    0    0     0     0 16883 1108  1 81 18  0  0
 2  0 918480  93876  65764 1207012    0    0     0     0 17504 1166  1 81 18  0  0
 0  0 918480  93876  65764 1207016    0    0     0     0 3563  536  0 11 89  0  0
